  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.000  -0.9839   0.03650   0.03291  -0.0919   1.0000   0.0171
 -13.750  -1.0013   0.03397   0.03026  -0.0893   1.0000   0.0172
 -13.500  -0.9998   0.03206   0.02823  -0.0883   0.9993   0.0175
 -13.250  -0.9771   0.03034   0.02640  -0.0903   0.9969   0.0179
 -13.000  -0.9520   0.02892   0.02485  -0.0921   0.9948   0.0184
 -12.750  -0.9270   0.02762   0.02341  -0.0936   0.9925   0.0190
 -12.500  -0.9023   0.02637   0.02200  -0.0947   0.9897   0.0197
 -12.250  -0.8760   0.02514   0.02058  -0.0960   0.9873   0.0204
 -12.000  -0.8484   0.02399   0.01929  -0.0975   0.9855   0.0209
 -11.750  -0.8189   0.02311   0.01835  -0.0990   0.9841   0.0215
 -11.500  -0.7933   0.02237   0.01752  -0.0994   0.9807   0.0221
 -11.250  -0.7652   0.02163   0.01668  -0.1003   0.9782   0.0227
 -11.000  -0.7356   0.02088   0.01581  -0.1014   0.9761   0.0235
 -10.750  -0.7056   0.02015   0.01492  -0.1025   0.9743   0.0243
 -10.500  -0.6754   0.01938   0.01401  -0.1037   0.9727   0.0249
 -10.250  -0.6519   0.01864   0.01323  -0.1035   0.9679   0.0255
 -10.000  -0.6237   0.01808   0.01261  -0.1040   0.9646   0.0262
  -9.750  -0.5941   0.01755   0.01201  -0.1048   0.9620   0.0270
  -9.500  -0.5645   0.01701   0.01138  -0.1055   0.9594   0.0278
  -9.250  -0.5397   0.01651   0.01078  -0.1051   0.9540   0.0285
  -9.000  -0.5118   0.01603   0.01020  -0.1053   0.9498   0.0291
  -8.750  -0.4833   0.01538   0.00947  -0.1058   0.9464   0.0299
  -8.500  -0.4581   0.01486   0.00892  -0.1055   0.9401   0.0307
  -8.250  -0.4308   0.01442   0.00842  -0.1055   0.9340   0.0315
  -8.000  -0.4031   0.01402   0.00796  -0.1055   0.9280   0.0323
  -7.750  -0.3768   0.01363   0.00750  -0.1052   0.9207   0.0332
  -7.500  -0.3489   0.01324   0.00702  -0.1052   0.9151   0.0339
  -7.250  -0.3224   0.01289   0.00660  -0.1050   0.9079   0.0345
  -7.000  -0.2954   0.01246   0.00611  -0.1049   0.9011   0.0356
  -6.750  -0.2684   0.01210   0.00572  -0.1047   0.8941   0.0367
  -6.500  -0.2411   0.01179   0.00536  -0.1046   0.8863   0.0377
  -6.250  -0.2136   0.01151   0.00502  -0.1044   0.8787   0.0389
  -6.000  -0.1861   0.01125   0.00469  -0.1043   0.8703   0.0400
  -5.750  -0.1586   0.01100   0.00438  -0.1042   0.8617   0.0413
  -5.500  -0.1312   0.01073   0.00408  -0.1040   0.8526   0.0435
  -5.250  -0.1036   0.01052   0.00383  -0.1039   0.8431   0.0460
  -5.000  -0.0759   0.01033   0.00358  -0.1038   0.8334   0.0485
  -4.750  -0.0484   0.01013   0.00335  -0.1036   0.8229   0.0526
  -4.500  -0.0207   0.00997   0.00315  -0.1035   0.8124   0.0572
  -4.250   0.0069   0.00982   0.00298  -0.1034   0.8017   0.0633
  -4.000   0.0345   0.00968   0.00281  -0.1032   0.7901   0.0695
  -3.750   0.0622   0.00958   0.00267  -0.1031   0.7787   0.0765
  -3.500   0.0897   0.00946   0.00253  -0.1030   0.7673   0.0838
  -3.250   0.1173   0.00939   0.00240  -0.1028   0.7554   0.0905
  -3.000   0.1449   0.00928   0.00229  -0.1027   0.7433   0.0991
  -2.750   0.1725   0.00921   0.00219  -0.1025   0.7315   0.1080
  -2.500   0.1999   0.00915   0.00210  -0.1024   0.7195   0.1193
  -2.250   0.2274   0.00908   0.00203  -0.1023   0.7072   0.1343
  -2.000   0.2548   0.00898   0.00197  -0.1022   0.6953   0.1559
  -1.750   0.2822   0.00891   0.00193  -0.1020   0.6832   0.1788
  -1.500   0.3095   0.00887   0.00190  -0.1019   0.6708   0.2001
  -1.250   0.3369   0.00884   0.00188  -0.1017   0.6584   0.2201
  -1.000   0.3644   0.00882   0.00186  -0.1016   0.6458   0.2407
  -0.750   0.3918   0.00881   0.00185  -0.1015   0.6335   0.2596
  -0.500   0.4190   0.00881   0.00185  -0.1013   0.6215   0.2780
  -0.250   0.4462   0.00880   0.00186  -0.1012   0.6092   0.3019
   0.000   0.4735   0.00876   0.00188  -0.1011   0.5972   0.3355
   0.250   0.5005   0.00871   0.00191  -0.1009   0.5860   0.3776
   0.500   0.5270   0.00858   0.00196  -0.1007   0.5749   0.4545
   0.750   0.5527   0.00828   0.00205  -0.1004   0.5642   0.5962
   1.000   0.5779   0.00809   0.00215  -0.0999   0.5545   0.7003
   1.250   0.6014   0.00792   0.00225  -0.0988   0.5446   0.7994
   1.500   0.6233   0.00776   0.00235  -0.0970   0.5357   0.9159
   1.750   0.6638   0.00785   0.00240  -0.0996   0.5256   0.9935
   2.000   0.6924   0.00795   0.00246  -0.0998   0.5162   1.0000
   2.250   0.7187   0.00810   0.00254  -0.0995   0.5073   1.0000
   2.500   0.7453   0.00823   0.00263  -0.0992   0.4978   1.0000
   2.750   0.7718   0.00837   0.00273  -0.0989   0.4891   1.0000
   3.000   0.7983   0.00851   0.00283  -0.0986   0.4803   1.0000
   3.250   0.8249   0.00865   0.00294  -0.0984   0.4724   1.0000
   3.500   0.8514   0.00880   0.00306  -0.0981   0.4641   1.0000
   3.750   0.8779   0.00895   0.00318  -0.0978   0.4561   1.0000
   4.000   0.9038   0.00913   0.00332  -0.0975   0.4458   1.0000
   4.250   0.9298   0.00930   0.00346  -0.0971   0.4336   1.0000
   4.500   0.9556   0.00950   0.00361  -0.0967   0.4215   1.0000
   4.750   0.9809   0.00971   0.00378  -0.0963   0.4082   1.0000
   5.000   1.0059   0.00995   0.00396  -0.0958   0.3931   1.0000
