  
       XFOIL         Version 6.96
  
 Calculated polar for: SIKORSKY SC1095 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.250  -0.8809   0.13470   0.13226   0.0310   1.0000   0.0091
 -15.000  -0.9024   0.12471   0.12220   0.0259   1.0000   0.0089
 -14.750  -0.9361   0.11307   0.11047   0.0198   1.0000   0.0088
 -14.500  -0.9687   0.10227   0.09957   0.0139   1.0000   0.0087
 -14.250  -1.0028   0.09135   0.08857   0.0078   1.0000   0.0086
 -14.000  -1.0386   0.07997   0.07708   0.0011   1.0000   0.0085
 -13.750  -1.0740   0.06767   0.06461  -0.0071   1.0000   0.0083
 -13.500  -1.1021   0.05523   0.05192  -0.0179   1.0000   0.0082
 -13.250  -1.1207   0.04700   0.04344  -0.0255   1.0000   0.0082
 -13.000  -1.1338   0.04193   0.03815  -0.0285   1.0000   0.0082
 -12.750  -1.1427   0.03848   0.03450  -0.0288   1.0000   0.0082
 -12.500  -1.1483   0.03588   0.03171  -0.0273   1.0000   0.0083
 -12.250  -1.1457   0.03359   0.02922  -0.0260   1.0000   0.0083
 -12.000  -1.1380   0.03153   0.02697  -0.0249   1.0000   0.0084
 -11.750  -1.1270   0.02967   0.02492  -0.0239   1.0000   0.0085
 -11.500  -1.1133   0.02798   0.02305  -0.0229   1.0000   0.0086
 -11.250  -1.0975   0.02644   0.02135  -0.0221   1.0000   0.0087
 -11.000  -1.0799   0.02505   0.01979  -0.0213   1.0000   0.0088
 -10.750  -1.0604   0.02385   0.01843  -0.0206   1.0000   0.0089
 -10.500  -1.0429   0.02224   0.01666  -0.0198   1.0000   0.0092
 -10.250  -1.0228   0.02095   0.01526  -0.0192   1.0000   0.0096
 -10.000  -1.0006   0.01995   0.01416  -0.0187   1.0000   0.0100
  -9.750  -0.9774   0.01905   0.01315  -0.0183   1.0000   0.0104
  -9.500  -0.9538   0.01819   0.01218  -0.0178   1.0000   0.0109
  -9.250  -0.9295   0.01739   0.01125  -0.0175   1.0000   0.0114
  -9.000  -0.9053   0.01652   0.01028  -0.0171   1.0000   0.0123
  -8.750  -0.8805   0.01572   0.00944  -0.0167   1.0000   0.0143
  -8.500  -0.8557   0.01492   0.00867  -0.0164   1.0000   0.0206
  -8.250  -0.8296   0.01443   0.00821  -0.0162   1.0000   0.0285
  -8.000  -0.8031   0.01406   0.00777  -0.0161   1.0000   0.0327
  -7.750  -0.7766   0.01368   0.00739  -0.0159   1.0000   0.0363
  -7.500  -0.7498   0.01336   0.00702  -0.0158   1.0000   0.0392
  -7.250  -0.7236   0.01291   0.00659  -0.0156   1.0000   0.0430
  -7.000  -0.6968   0.01260   0.00625  -0.0155   1.0000   0.0463
  -6.750  -0.6705   0.01221   0.00585  -0.0153   1.0000   0.0504
  -6.500  -0.6439   0.01194   0.00559  -0.0150   1.0000   0.0557
  -6.250  -0.6177   0.01162   0.00530  -0.0148   1.0000   0.0620
  -6.000  -0.5913   0.01150   0.00516  -0.0144   1.0000   0.0687
  -5.750  -0.5662   0.01127   0.00499  -0.0140   1.0000   0.0770
  -5.500  -0.5414   0.01118   0.00488  -0.0133   1.0000   0.0834
  -5.250  -0.5176   0.01098   0.00471  -0.0126   1.0000   0.0896
  -5.000  -0.4939   0.01088   0.00458  -0.0117   1.0000   0.0939
  -4.750  -0.4711   0.01061   0.00430  -0.0108   1.0000   0.0984
  -4.500  -0.4483   0.01042   0.00413  -0.0099   1.0000   0.1031
  -4.250  -0.4253   0.01031   0.00400  -0.0090   1.0000   0.1071
  -4.000  -0.3924   0.01009   0.00375  -0.0102   0.9980   0.1112
  -3.750  -0.3543   0.00979   0.00350  -0.0124   0.9951   0.1175
  -3.500  -0.3145   0.00961   0.00331  -0.0150   0.9915   0.1234
  -3.250  -0.2716   0.00926   0.00303  -0.0181   0.9866   0.1339
  -3.000  -0.2306   0.00898   0.00281  -0.0209   0.9817   0.1456
  -2.750  -0.1966   0.00872   0.00263  -0.0221   0.9753   0.1614
  -2.500  -0.1639   0.00841   0.00247  -0.0231   0.9690   0.1950
  -2.250  -0.1363   0.00801   0.00235  -0.0231   0.9592   0.2610
  -2.000  -0.1115   0.00756   0.00224  -0.0224   0.9477   0.3470
  -1.750  -0.0873   0.00707   0.00213  -0.0216   0.9362   0.4514
  -1.500  -0.0636   0.00656   0.00205  -0.0207   0.9248   0.5671
  -1.250  -0.0401   0.00618   0.00202  -0.0194   0.9124   0.6628
  -1.000  -0.0165   0.00595   0.00198  -0.0180   0.8965   0.7300
  -0.750   0.0071   0.00581   0.00195  -0.0165   0.8765   0.7788
  -0.500   0.0309   0.00573   0.00193  -0.0150   0.8560   0.8171
  -0.250   0.0556   0.00570   0.00192  -0.0137   0.8360   0.8488
   0.000   0.0795   0.00569   0.00192  -0.0123   0.8132   0.8778
   0.250   0.1034   0.00573   0.00192  -0.0108   0.7886   0.9023
   0.500   0.1270   0.00580   0.00191  -0.0094   0.7606   0.9214
   0.750   0.1509   0.00589   0.00190  -0.0080   0.7264   0.9390
   1.000   0.1744   0.00603   0.00188  -0.0065   0.6853   0.9603
   1.250   0.2060   0.00621   0.00186  -0.0069   0.6314   0.9773
   1.500   0.2465   0.00654   0.00190  -0.0094   0.5629   0.9886
   1.750   0.2910   0.00696   0.00199  -0.0130   0.4874   0.9958
   2.000   0.3293   0.00731   0.00207  -0.0154   0.4279   1.0000
   2.250   0.3536   0.00753   0.00211  -0.0149   0.3875   1.0000
   2.750   0.4021   0.00798   0.00225  -0.0138   0.3212   1.0000
   3.000   0.4265   0.00822   0.00235  -0.0132   0.2902   1.0000
   3.250   0.4514   0.00847   0.00246  -0.0127   0.2599   1.0000
   3.500   0.4770   0.00874   0.00259  -0.0123   0.2290   1.0000
   3.750   0.5030   0.00905   0.00276  -0.0121   0.2003   1.0000
   4.000   0.5296   0.00935   0.00294  -0.0119   0.1788   1.0000
   4.250   0.5564   0.00965   0.00315  -0.0118   0.1630   1.0000
   4.500   0.5835   0.00994   0.00338  -0.0117   0.1503   1.0000
   4.750   0.6106   0.01023   0.00363  -0.0116   0.1401   1.0000
   5.000   0.6376   0.01055   0.00389  -0.0116   0.1312   1.0000
   5.250   0.6650   0.01081   0.00417  -0.0115   0.1246   1.0000
   5.500   0.6920   0.01114   0.00445  -0.0114   0.1181   1.0000
   5.750   0.7190   0.01149   0.00480  -0.0113   0.1130   1.0000
   6.000   0.7463   0.01175   0.00509  -0.0112   0.1087   1.0000
   6.250   0.7730   0.01213   0.00544  -0.0111   0.1040   1.0000
   6.500   0.7993   0.01256   0.00589  -0.0109   0.1003   1.0000
   6.750   0.8264   0.01285   0.00623  -0.0108   0.0976   1.0000
   7.000   0.8532   0.01318   0.00661  -0.0107   0.0947   1.0000
   7.250   0.8795   0.01358   0.00700  -0.0105   0.0915   1.0000
   7.500   0.9047   0.01418   0.00760  -0.0102   0.0877   1.0000
   7.750   0.9321   0.01432   0.00782  -0.0102   0.0849   1.0000
   8.000   0.9589   0.01456   0.00810  -0.0101   0.0817   1.0000
   8.250   0.9849   0.01492   0.00845  -0.0100   0.0781   1.0000
   8.500   1.0100   0.01544   0.00901  -0.0097   0.0749   1.0000
   8.750   1.0371   0.01558   0.00923  -0.0096   0.0722   1.0000
   9.000   1.0638   0.01577   0.00945  -0.0096   0.0687   1.0000
   9.250   1.0887   0.01622   0.00989  -0.0093   0.0646   1.0000
   9.500   1.1155   0.01639   0.01014  -0.0092   0.0615   1.0000
   9.750   1.1422   0.01654   0.01033  -0.0092   0.0568   1.0000
  10.000   1.1682   0.01681   0.01061  -0.0091   0.0502   1.0000
  10.250   1.1894   0.01783   0.01136  -0.0085   0.0236   1.0000
  10.500   1.2081   0.01922   0.01275  -0.0076   0.0157   1.0000
  10.750   1.2277   0.02041   0.01403  -0.0067   0.0137   1.0000
  11.000   1.2484   0.02132   0.01508  -0.0059   0.0128   1.0000
